DateTime,Power_Training_Predicted_Values
00:00.0,18.253592
00:00.0,6.5121803
00:00.0,34.395668
00:00.0,54.8936
00:00.0,34.63981
00:00.0,49.151833
00:00.0,46.510212
00:00.0,37.556023
00:00.0,46.810604
00:00.0,46.411877
00:00.0,41.493732
00:00.0,33.43168
00:00.0,36.2101
00:00.0,31.521046
00:00.0,34.408302
00:00.0,23.871323
00:00.0,34.225117
00:00.0,33.97209
00:00.0,36.050964
00:00.0,32.4795
00:00.0,34.882843
00:00.0,38.359203
00:00.0,35.06955
00:00.0,37.08678
00:00.0,35.975567
00:00.0,31.337233
00:00.0,17.947014
00:00.0,25.547623
00:00.0,29.07763
00:00.0,25.89811
00:00.0,22.778631
00:00.0,17.685396
00:00.0,20.66272
00:00.0,18.291027
00:00.0,18.636137
00:00.0,13.55342
00:00.0,12.763289
00:00.0,10.099758
00:00.0,15.494242
00:00.0,10.573931
00:00.0,5.943474
00:00.0,5.953763
00:00.0,8.901158
00:00.0,7.0250907
00:00.0,10.40713
00:00.0,14.37768
00:00.0,14.42828
00:00.0,15.6141
00:00.0,21.304144
00:00.0,22.323677
00:00.0,32.05328
00:00.0,38.01684
00:00.0,34.981953
00:00.0,26.634447
00:00.0,23.232105
00:00.0,18.080345
00:00.0,17.1655
00:00.0,15.903661
00:00.0,16.543274
00:00.0,13.528556
00:00.0,6.590041
00:00.0,5.1032505
00:00.0,5.297235
00:00.0,0.7925456
00:00.0,0.5087191
00:00.0,0.4679901
00:00.0,0.2555904
00:00.0,0.23267293
00:00.0,0.19324696
00:00.0,0.16943353
00:00.0,1.9945822
00:00.0,0.7471605
00:00.0,0.18266347
00:00.0,0.051456332
00:00.0,0.006511748
00:00.0,4.5481105
00:00.0,9.25478
00:00.0,14.700225
00:00.0,7.9031844
00:00.0,14.650078
00:00.0,11.6435375
00:00.0,15.045222
00:00.0,26.964369
00:00.0,33.27344
00:00.0,37.102642
00:00.0,30.776854
00:00.0,19.650229
00:00.0,18.029305
00:00.0,27.889275
00:00.0,19.583803
00:00.0,28.936049
00:00.0,32.54063
00:00.0,31.47091
00:00.0,33.832207
00:00.0,24.312225
00:00.0,43.71511
00:00.0,45.72567
00:00.0,49.43304
00:00.0,51.318222
00:00.0,45.595455
00:00.0,47.054283
00:00.0,49.938408
00:00.0,31.26716
00:00.0,37.501892
00:00.0,41.016636
00:00.0,22.056059
00:00.0,21.51768
00:00.0,18.365557
00:00.0,14.171641
00:00.0,9.5256
00:00.0,4.272083
00:00.0,4.5154605
00:00.0,5.259784
00:00.0,10.424278
00:00.0,12.369549
00:00.0,14.092594
00:00.0,15.072989
00:00.0,13.26929
00:00.0,13.776843
00:00.0,13.006353
00:00.0,29.745129
00:00.0,28.777367
00:00.0,16.825874
00:00.0,5.024798
00:00.0,0.6114104
00:00.0,0.23130324
00:00.0,0.102025986
00:00.0,0.07255894
00:00.0,0.25089154
00:00.0,0.21131971
00:00.0,0.97423553
00:00.0,1.9030826
00:00.0,2.9851782
00:00.0,6.5579433
00:00.0,4.66168
00:00.0,0.85188186
00:00.0,11.480274
00:00.0,17.93262
00:00.0,25.615953
00:00.0,29.084053
00:00.0,34.521183
00:00.0,40.354362
00:00.0,40.634834
00:00.0,36.44344
00:00.0,52.577343
00:00.0,59.152668
00:00.0,57.085632
00:00.0,53.015587
00:00.0,49.0647
00:00.0,54.35975
00:00.0,50.44217
00:00.0,38.39278
00:00.0,36.97863
00:00.0,47.124893
00:00.0,33.81793
00:00.0,23.753494
00:00.0,36.694595
00:00.0,48.190628
00:00.0,36.82703
00:00.0,29.127827
00:00.0,27.572157
00:00.0,20.547987
00:00.0,27.316168
00:00.0,44.77931
00:00.0,42.977654
00:00.0,37.50516
00:00.0,30.76571
00:00.0,38.00161
00:00.0,20.178503
00:00.0,32.485332
00:00.0,50.340748
00:00.0,49.344337
00:00.0,46.55583
00:00.0,31.840446
00:00.0,35.906902
00:00.0,29.509886
